content,news_id,org_list
德微近期有價證券近期多次達公佈注意交易資訊標準，被櫃買中心要求公布自結損益，7月稅後淨利033億元，年增230％，每股盈餘073元。6、7月合計稅後淨利069億元，年增22857％，每股盈餘156元。德微7月營收178億元，年增3259％，再創單月新高，公司取得DIODESVDA63車用製程稽核，正式進入Tier1汽車客戶系統，將推升車用電子獲利的大幅成長。此外，亞昕晶片全面由4吋轉5吋效益將在2022年正式放量生產，預期將使產能及毛利率大幅提升，並將投入擴充晶片產線計畫。該公司SiC自動化封裝產線預計今年第4季開始量產出貨，自動化產線將帶動二極體平均月出貨量由2020年的16～19億顆、2021年的2～25億顆成長至2022年的3～35億顆/月。展望下半年，法人預估，上下半年營收比重約45：55或40：60，公司在第3季及第4季營運延續上半年走勢，呈現逐季成長。,6,"[(210, 214, 'ORG', '亞昕晶片')]"
中鋼集團中鴻每股分配03元現金股利，今日除息，早盤買盤強拉，股價一度漲停4815元，不但大幅超過填息目標價441元並且重回所有短期均線以及月線關卡之上。中鴻昨日上午召開110年度股東常會，中鴻董事長劉敏雄會後表示，今年營運高峰期在8、9月，對明年上半年的鋼市展望仍正向。繼中鋼開出9月內銷盤價，產品全面調漲300~500元，平均調漲12%後，中鴻跟進9月盤價開高，內銷熱軋、冷軋以及鍍鋅鋼品每噸均漲500元。另外，9~11月外銷則依產品及地區，分別調漲0~20美元，實際報價視當地市場行情而定。中鴻第三季鋼價持續穩健調漲，有利本季營運持續攀高。中鴻上半年受惠鋼品價量齊揚，上半年稅後淨利398億元，較去年同期虧損488億元，出現大幅由虧轉盈，EPS為277元，創歷史新高。中鴻第二季營運創新高，營收13397億元，稅後淨利228億元、季增約34%，單季EPS達159元；上半年營收24227億元，年增3497%，營業利益3602億元，較去年同期虧損大幅好轉，上半年稅後淨利為398億元，EPS達277元。法人指出，中鴻下半年隨著鋼價穩健上揚，營運可望維持不錯的水準，全年業績將創下歷史新高。,8,"[(1, 4, 'ORG', 'CLS'), (5, 9, 'ORG', '中鋼集團'), (9, 11, 'ORG', '中鴻'), (83, 85, 'ORG', '中鴻'), (101, 103, 'ORG', '中鴻'), (143, 145, 'ORG', '中鋼'), (178, 180, 'ORG', '中鴻'), (254, 256, 'ORG', '中鴻'), (279, 281, 'ORG', '中鴻'), (343, 345, 'ORG', '中鴻'), (472, 474, 'ORG', '中鴻')]"
證券分析師黃勇文表示，台股26日早盤受到台積電漲價效應激勵，惟後續卻隨著權值股漲幅收斂，低點一度來到16984點，尾盤力守「萬七」關卡。觀察亞洲股市，26日皆呈現下跌，而南韓央行決議升息，開出亞洲升息的腳步，也反映出資產價格膨脹得太高，是收回資金的前兆，建議投資人近期要特別留意央行即將要發表的言論。個股方面，本周納入投資組合的聚積，自結7月獲利亮眼，每股盈餘224元，單月獲利就逼近第二季EPS284元的水準。選股方面，「鋼鐵人」氣回流、占大盤比重上升，運輸族群則仍是當沖的主流。展望後市，台股大盤月線、季線均下彎，故短線要一股作氣向上突破本就有一定難度，加上反彈已達一定幅度，後續需要外資法人有明顯加碼來助攻，否則投資人應趁著反彈適度調節持股。,9,"[(25, 28, 'ORG', '台積電'), (92, 96, 'ORG', '南韓央行'), (146, 148, 'ORG', '央行')]"
「情歌天后」梁靜茹疫情期間沒停下腳步，不但推出新作《時光隨想‧三日思》，也努力精進廚藝，舉凡中式、西式餐點到甜點，她都能做到色香味俱全，近來還栽培食材，在家孵起綠豆芽，笑說「在家除了孵音樂豆芽，還認真孵起真的『豆芽菜』」表示自己的人生中，每分每秒都在探險。她隔2年的EP《時光隨想‧三日思》，請來本屆金曲獎評審團主席鍾成虎擔任音樂統籌，兩人是志同道合的老搭檔，這次更展現高度默契「玩」出新火花。鍾成虎形容梁靜茹的聲音就像是華語歌壇的「法拉利」，「她能依據賽道的不同，調整不同模式去衝刺，無論是情歌、電音各種曲風都能駕馭」。鍾成虎在錄音室準備了3支不同的麥克風，讓梁靜茹去發揮，呈現她3個不一樣的面向，「這次3首歌讓靜茹不只是情歌天后，更進化成輕電音女王」，鍾成虎還以8個字稱讚她的聲音：「游刃有餘、舉重若輕。」梁靜茹花了半年籌備EP，希望當成是一個輕鬆的音樂禮物送給大家，讓大家在疫情過程中跳脫無謂的煩惱憂鬱。,12,"[(155, 161, 'ORG', '金曲獎評審團'), (222, 225, 'ORG', '法拉利')]"
長興自結7月稅前盈餘373億元，年成長1101％，每股稅前盈餘03元；前7月稅前盈餘2785億元，年增10049％，每股稅前盈餘225元。長興7月三大事業單位出貨量穩定，合成樹脂出貨量較上月回升，特用材料上月受船期影響的部分，已於本月出貨，且新產品出貨穩定，帶動特用材料營收創下歷史新高；電子材料部份，乾膜光阻出貨穩定，但設備出貨少於上月，致電子材料營收下滑。全公司營收穩定，獲利亦維持上月水準。全球經濟持續復甦，電子材料、特用材料需求穩定，預期能延續上半年表現。整體而言，下半年營運展望維持穩定，惟去年下半年基期較高，成長幅度將趨緩。公司將持續進行產品研發、產品組合優化及成本控管，保持成長動能。,24,"[(5, 7, 'ORG', '長興')]"
新光金董事會通過半年報，上半年稅後淨利達1362億元，年成長74％，每股盈餘為104元，總資產規模約456兆元，合併股東權益為24804億元，每股淨值約186元。子公司新壽持續以價值型商品及外幣保單為新契約推動主軸，上半年外幣保單初年度保費達1687億元，佔初年度保費比重約77％，稅後淨利約849億元，較去年同期增加777％，股東權益達16279億元，淨值資產比為493％。新光銀上半年利息淨收益及手續費淨收益分別較去年同期成長99％、2％，稅後淨利達306億元，年成長34％，合併股東權益6907億元，放款餘額達68929億元，今年以來成長約55％，而逾放比及呆帳覆蓋率分別為018％及73224％，資產品質穩健。元富證經紀業務表現亮麗，上半年經紀手續費收入達2876億元，年增率達825％，加上自營操作掌握市場趨勢，稅後淨利達222億元，較去年同期成長287％，股東權益約2735億元，為金控獲利重要第三引擎。,27,"[(5, 8, 'ORG', '新光金'), (93, 95, 'ORG', '新壽'), (205, 208, 'ORG', '新光銀')]"
以大陸市場為主的不鏽鋼緊固件及線材生產與銷售東明-KY今年上半年營運創新高，歸屬於母公司業主淨利487億元，年增248倍。基本每股盈餘29元。東明-KY公布2021年上半年財報：營收5704億元，年增約4375%，創新高，歸屬於母公司業主淨利487億元，同創新高，年增近25倍，基本每股盈餘29元。受惠大陸市場需求熱絡以及產品價格調漲，東明-KY上半年交出佳績，第一季營收達2466億元，EPS12元，第二季持續增長，第二季營收達3238億元新高且價格續漲，EPS達約17元。第三季市場持續暢旺，東明-KY自結7月營收1163億元，年增4358%；前7月營收6859億元，年增4362%。,30,"[(27, 32, 'ORG', '東明-ky'), (78, 83, 'ORG', '東明-ky'), (267, 272, 'ORG', '東明-ky')]"
新光鋼上半年營運創新高，上半年EPS504元，7月營收仍在高檔，達1311億元，年增2983%，下半年鋼價仍走穩向上，中鋼開出9月單月盤轉為漲盤，有利公司下半年營運具不錯的利基，全年營運可望創新高。受惠訂單暢旺、鋼價走揚，新光鋼上半年營運創新高，稅後淨利1564億元，較去年同期大增超過15倍，EPS504元。今年前7月營收8417億元，年增5739%，並改寫歷史同期新高。展望下半年，新光鋼下半年出貨續強，公司今年出貨量挑戰歷史新高，預計在50萬噸以上水準；加上下半年鋼價仍是穩中求漲，且公司還有部分低價原料庫存，可望力挺毛利率續在高檔水準，全年營收、獲利創新高可期。法人估公司今年EPS可望達9元以上。新光鋼為流通大廠，除了銷售鋼品，也提供熱軋、鋼管等各式鋼材剪裁加工服務。近年公司積極轉型，整合下游供應鏈、共同承接訂單，提供客戶從鋼材產製到運送、安裝等方案，搶攻台商回流建廠商機等，且跨入多元事業，包括離岸風電、太陽能等綠能事業。,34,"[(5, 8, 'ORG', '新光鋼'), (72, 74, 'ORG', '中鋼'), (124, 127, 'ORG', '新光鋼'), (216, 219, 'ORG', '新光鋼'), (326, 329, 'ORG', '新光鋼')]"
帆宣第二季營運持續向上，單季EPS214元，上半年業績創新高，EPS達325元；受惠台系半導體大廠持續擴產，公司訂單能見度到明年，法人看好今年下半年營運可望持續比上半年成長，全年營運將創新高。帆宣2021年第二季營收801億元，年增3841%，EPS214元，創下十多年以來新高。第二季營收801億元，季增2195%，年增3841%，刷新單季紀錄；毛利率1167%，優於首季及去年同期；稅後淨利402億元，季增949%，年增646%，EPS達214元。帆宣上半年營運創新高；上半年營收14579億元，年增2918%，稅後淨利601億元，年增281%，EPS325元，創下歷史同期新高。展望下半年，法人表示，下半年逐步進入設備業營收認列高峰期，預期公司營收有望逐季創高，整體獲利表現也有機會優於上半年，今年營運可望創下新高紀錄。展望後續，隨著全球晶圓廠積極擴產投資，帆宣目前在手訂單金額達325億元，若以月營收約20億元概算，公司訂單能見度已達2022年下半年，法人看好，公司受惠台系晶圓代工龍頭的全球擴產需求，明年業績可望再優於今年之表現。,35,"[(5, 7, 'ORG', '帆宣'), (251, 253, 'ORG', '帆宣')]"
英業達明天將參加本土券商舉行的法說會，英業達2QEPS032元，符合市場預期，而7月營收455億元也優於預期，法人預估3Q營收季增可望達15%，動能來自伺服器與智慧裝置業務。第二季毛利率季減01個百分點到45%，而營益率則是和上季持平，維持在09%。英業達近4個交易日也看到外資法人淨買超的動作。英業達7月營收455億元，月增10%，但年減7%；筆電出貨量則月增6%至190萬台。視零組件供給情況，管理層預期3Q筆電出貨可望由2Q之500萬台季增5-10%，伺服器營收在部分由2Q出貨遞延影響下之專案)，營收將季增雙位數，而智慧裝置營收亦可望季增雙位數。內資法人估，英業達3Q營收將季增15%，但考量3Q基期偏高，應較難年增。隨伺服器與智慧裝置營收比重提高，可抵消伺服器機櫃營收擴張之影響，3Q毛利率應可維持穩定，加上認列處份上海房舍一次性資產利益，3QEPS將強勁季增與年增至062元。展望2022年，法人估英業達營收年增可達6%，獲利年增優於營收，將達18%，主要受惠於企業需求復甦，對商用筆電和伺服器需求成長。,43,"[(24, 26, 'ORG', '英業'), (142, 144, 'ORG', '英業'), (165, 167, 'ORG', '英業'), (306, 308, 'ORG', '英業'), (442, 444, 'ORG', '英業')]"
